,static,equal,shrunk,regime,minvar
2014-07-25,-0.006801618019745867,-0.009483010639123874,-0.0042586550095967905,-0.0042586550095967905,-0.00428056492374977
2014-07-28,-0.0015862165451637977,-0.001493170840543539,0.0002684649522336018,0.0002684649522336018,0.0001948267462214378
2014-07-29,-0.00888457811394995,-0.00667064196268214,-0.007194465812900883,-0.007194465812900883,-0.007207478557280153
2014-07-30,0.01047486142951876,-0.0016071300521249376,-0.005716552613390222,-0.005716552613390222,-0.005749782093217018
2014-07-31,-0.027717010497083906,-0.021544314097802907,-0.0204046248158821,-0.0204046248158821,-0.02029484789353755
2014-08-01,-0.01534893337028697,-0.005587557685118673,0.001448937167299917,0.001448937167299917,0.001522320289731854
2014-08-04,0.010267970598516304,0.00681364520523594,0.00748043887852206,0.00748043887852206,0.007321969275881276
2014-08-05,-0.012822190948268482,-0.00927423562559151,-0.008212793398276625,-0.008212793398276625,-0.008211297965034565
2014-08-06,0.00198289933871323,0.0048349728588368435,0.00879788715269479,0.00879788715269479,0.008773722802585532
2014-08-07,-0.004225080428540657,-0.005418429878106756,-0.007865043371865348,-0.007865043371865348,-0.007839068088558188
2014-08-08,0.013915424683725672,0.010693782865908502,0.009190854047950918,0.009190854047950918,0.009189020518119647
2014-08-11,0.0013152002271904785,0.0024021498178460384,0.0046462684726675104,0.0046462684726675104,0.0046102883856473
2014-08-12,-0.005509092126094637,-0.0015425162359079183,-0.0033643471008344863,-0.0033643471008344863,-0.0033206124874649596
2014-08-13,0.011486540495358789,0.008400488030496095,0.008294162646413169,0.008294162646413169,0.008259303344909465
2014-08-14,0.003345967948126185,0.00469678401230648,0.0027863314648447304,0.0027863314648447304,0.0028352305092465657
2014-08-15,-0.0006283123574465897,0.00011422167612369877,-0.0009428512486252182,-0.0009428512486252182,-0.0008668252618177453
2014-08-18,0.013799936908296808,0.00842033132561146,0.007669223115860249,0.007669223115860249,0.007688981246712016
2014-08-19,0.0028563227385136046,0.004018385587678583,0.0028048284336118037,0.0028048284336118037,0.0028753843849210303
2014-08-20,-0.0002840461001555911,0.0015376199576352745,0.0020576048553729866,0.0020576048553729866,0.002016166699662002
2014-08-21,0.00425304814753589,0.005082668407564866,0.00194258812584787,0.00194258812584787,0.001975285746331702
2014-08-22,0.005942894507533746,-0.001352943779340895,-0.002876870532847827,-0.002876870532847827,-0.0028470832554472157
2014-08-25,0.008412199963989305,0.006664101702440038,0.005874674624207656,0.005874674624207656,0.005839442376454206
2014-08-26,0.0007041161361200863,0.002899908961652273,0.00045524304015658214,0.00045524304015658214,0.00048681689402735675
2014-08-27,-0.007970939465766689,0.0007983550297431877,0.0005238496579659961,0.0005238496579659961,0.0005755475299421629
2014-08-28,-0.003747501183856863,-0.0026878069773232345,-0.0004842355692799105,-0.0004842355692799105,-0.0005014208589936798
2014-08-29,0.004783264816785385,0.0035388776332552973,0.002445996596662251,0.002445996596662251,0.0024604938486873554
2014-09-02,0.007585185256706497,-0.0009265657418358821,-0.002741652998087365,-0.002741652998087365,-0.002780294442665753
2014-09-03,0.0011182432214950156,-0.0010358448846046573,0.0018089438520390165,0.0018089438520390165,0.0017515602240612614
2014-09-04,0.004511599475340071,0.00040078482346403313,-0.0030452798595893885,-0.0030452798595893885,-0.0029583310652495022
2014-09-05,0.00247688357420452,0.0031120495262530524,0.004444050794500923,0.004444050794500923,0.004412584122294258
2014-09-08,0.007867494301645366,-0.00038757354221297764,-0.0036323232525905477,-0.0036323232525905477,-0.0035862758856886035
2014-09-09,-0.020013759021445404,-0.007504261429202776,-0.0029667906304498824,-0.0029667906304498824,-0.0029596719871854108
2014-09-10,0.006654758585516225,0.004224677696557693,0.005378036056591345,0.005378036056591345,0.005323437094326751
2014-09-11,0.002919878183373863,0.0018840731417371576,-0.00040402943631484404,-0.00040402943631484404,-0.0004132948596799224
2014-09-12,-0.0019640766484556264,-0.0031598273096851886,-0.006236866925030288,-0.006236866925030288,-0.0062449501391328025
2014-09-15,-0.0005493042235764005,0.0010062554067034398,0.003351743602042959,0.003351743602042959,0.003392871938397594
2014-09-16,0.005238113663969042,0.006091008596364212,0.009605800986095607,0.009605800986095607,0.009489929008160019
2014-09-17,0.009604113303146613,0.0013852575284896787,0.001906840320318486,0.001906840320318486,0.0018926440436658207
2014-09-18,0.010751337713552401,0.005690819486864224,0.004081420173838083,0.004081420173838083,0.004053266301833794
2014-09-19,0.002440976365367827,0.00192400395825025,0.003838725846843895,0.003838725846843895,0.003815218317225293
2014-09-22,-0.014236513622140677,-0.0060413676126401875,-0.002753905876057681,-0.002753905876057681,-0.0027585595851624713
2014-09-23,-0.007681990790017809,-0.0047463884533725026,-0.00487223056939748,-0.00487223056939748,-0.004878765271325961
2014-09-24,0.006076091681927744,0.007105173415220897,0.0061135190477122955,0.0061135190477122955,0.006121324524010082
2014-09-25,-0.02136486727501796,-0.017988059046699402,-0.015430037348802293,-0.015430037348802293,-0.015418159185448158
2014-09-26,0.0085769362952586,0.007468352851713189,0.006219469137716762,0.006219469137716762,0.006206900220106991
2014-09-29,-0.0019545591840922447,-0.0030504892233467825,-0.0031426258832484917,-0.0031426258832484917,-0.0031101313006822486
2014-09-30,0.0006440204058674963,-0.0026223337872989657,-0.0020843210039814637,-0.0020843210039814637,-0.002119187099837655
2014-10-01,-0.016709681986053163,-0.01348320586906289,-0.012711869151580887,-0.012711869151580887,-0.012657110580843324
2014-10-02,0.004929114310440759,0.00022666823409715965,-0.000522763747249253,-0.000522763747249253,-0.0005636226647204448
2014-10-03,0.015543522743458531,0.011232667856982789,0.008388761424915639,0.008388761424915639,0.00837063542216229
2014-10-06,0.00045619322907331894,0.00033413247936724474,-0.00023205798369690378,-0.00023205798369690378,-0.00019757732414811273
2014-10-07,-0.025767625566557217,-0.01568332224284332,-0.011199848936625083,-0.011199848936625083,-0.011199083747570473
2014-10-08,0.013737885784042865,0.017093902579602277,0.01637675407993051,0.01637675407993051,0.016368779672967033
2014-10-09,-0.027372035385187607,-0.021595994875876313,-0.016115329974402886,-0.016115329974402886,-0.016112767087344482
2014-10-10,-0.010278590089624371,-0.006005359504835391,2.9965800807181704e-05,2.9965800807181704e-05,2.7478025553811776e-05
2014-10-13,-0.00553132979298738,-0.013214606650264658,-0.013803860369468185,-0.013803860369468185,-0.013796696358522528
2014-10-14,0.00959909393049993,-0.0033586560607314878,-0.0079707396027012,-0.0079707396027012,-0.007976216850146704
2014-10-15,-0.017326838107857477,-0.011556796460368526,-0.005878302422245172,-0.005878302422245172,-0.005866566058171336
2014-10-16,0.0008504717764780751,-0.0021745000315541085,-0.005866294860414028,-0.005866294860414028,-0.005892323934767425
2014-10-17,0.021351173381722453,0.012816189081833483,0.012803539586621364,0.012803539586621364,0.012807002703675152
